Vinteler Silviu,Uniunea Fortelor De Dreapta,2000,6048
Berindeiu Iacob,Partidul National Liberal,2000,6119
Mihaltan Nicolae,Partidul Democrat,2000,6164
Petruse Marin Ioan,Partidul National Liberal,2000,6217
Hanes Iosif,Partidul National Liberal,2000,6271
Cordea V Victor,Alianta Nationala Crestin Democrata,2000,6397
Dobos-Botas Constantin,Conventia Democrata Romana,2000,6468
Lazar Aurel,Partidul National Liberal,2000,6547
Cordea Ioan,Partidul Democrat,2000,6627
Szocs Francisc,Uniunea Democrata Maghiara Din Romania,2000,6592
Damian Ilie,Partidul National Liberal,2000,6930
Narita Virgil Nicolae,Alianta Pentru Romania,2000,6761
Bendea Oliviu,Partidul Democrat,2000,6976
Stupar Ioan,Partidul Democratiei Sociale Din Romania,2000,7044
Draghiciu Vasile,Partidul National Liberal,2000,7099
Costea Cristian Vasile,Partidul Unitatii Nationale Romane,2000,7197
Bonta Marius Mircea,Federatia Ecologista Din Romania,2000,7810
Latiu Gheorghe,Partidul Democrat,2000,7348
Popa Ioan Iancu,Partidul Democrat,2000,7384
Coroiu N. Iosif,Partidul Unitatii Nationale Romane,2000,7446
Marginean Emil,Partidul Democratiei Sociale Din Romania,2000,7865
Ciuca Ioan,Alianta Pentru Romania,2000,7945
Popa Traian Stefan,Partidul Democratiei Sociale Din Romania,2000,7767
Jinar Constantin,Partidul National Liberal,2000,8014
Metea Cristinel Ioan,Alianta Pentru Romania,2000,8158
Hristea Eugenia,Partidul Democratiei Sociale Din Romania,2000,8229
Denes Gheorghe,Partidul Democratiei Sociale Din Romania,2000,8354
Burz Ion,Partidul Democratiei Sociale Din Romania,2000,8425
Pienar Iosif-Nicolae,Alianta Pentru Romania,2000,8826
Hava Mircea Gheorghe,Partidul Democrat,2004,1017
Josan Mihai-Horatiu,Partidul National Liberal,2004,1213
Bacila Simion Alexandru,Partidul National Liberal,2004,1348
Dancila Adrian Alexandru,Partidul Social Democrat,2004,1874
Ratiu Tiberiu Ioan,Partidul Democrat,2004,1151
Marzan Silviu,Partidul Social Democrat,2004,2915
Andres I. Ioan-Calin,Partidul Romania Mare,2004,1455
Teban Adrian Ovidiu,Partidul National Liberal,2004,1696
Cristea Sorin,Partidul Democrat,2004,1794
Mateica Iacob Dorin Cornel,Partidul Democrat,2004,8096
Ponoran Silviu,Partidul National Liberal,2004,1936
Todea Petru Tiberiu,Partidul Democrat,2004,2130
Zaharie Aron,Partidul Social Democrat,2004,2309
Jurj Vasile Marin,Partidul Umanist Din Romania (SOCIAL Liberal),2004,2381
Heler Sandu,Partidul Social Democrat,2004,2577
Bica Vasile,Partidul Social Democrat,2004,2988
Gligor Traian,Partidul National Liberal,2004,3039
Gherman Nicolae,Partidul Social Democrat,2004,3397
Amariei-David Sorinel,Partidul Democrat,2004,3459
Neamtu Ilie,Partidul Social Democrat,2004,3761
Bozosan Lucian,Partidul Umanist Din Romania (SOCIAL Liberal),2004,3805
Giurgiu Aurel,Partidul Social Democrat,2004,3841
Cucui Mihaila,Partidul Democrat,2004,3958
Damian Gheorghe,Partidul Social Democrat,2004,1071
Mihalachi Ioan,Partidul National Liberal,2004,4008
Ienciu Nicolae,Partidul Social Democrat,2004,4106
Bubur Lenuta,Partidul Social Democrat,2004,4188
Lupsan Emil,Partidul National Liberal,2004,4142
Cutean Vasile-Eugen,Partidul Social Democrat,2004,9019
Damian Doru,Partidul Social Democrat,2004,4240
Albu Vasile,Partidul Social Democrat,2004,4268
Stavar Augustin,Partidul National Liberal,2004,4302
Raica Romulus,Partidul Social Democrat,2004,4366
Fulea Ioan,Partidul Social Democrat,2004,4482
Virciu Marin,Partidul Social Democrat,2004,4525
Popa Augustin,Partidul Social Democrat,2004,4703
Olar Corneliu,Partidul Democrat,2004,4767
Rusu Traian,Partidul Democrat,2004,4927
Lupsa Silviu,Partidul National Taranesc Crestin Democrat,2004,4981
Horhat Ioan,Partidul Democrat,2004,5103
Irimie Octaviu-Daniel,Partidul Umanist Din Romania (SOCIAL Liberal),2004,5167
Indreiu Marian Catalin,Partidul Social Democrat,2004,5210
Rusu Ioan,Partidul Social Democrat,2004,5309
Macaiet Alexandru,Partidul Social Democrat,2004,5336
Varvara Nicolae,Partidul Social Democrat,2004,5577
Carnat Marin,Partidul National Taranesc Crestin Democrat,2004,5700
Marginean Aurel,Partidul Social Democrat,2004,5755
Macavei Mircea Liviu,Partidul National Liberal,2004,5826
Vinteler Silviu,Partidul Democrat,2004,6048
Jucan Alin Alexandru,Partidul Social Democrat,2004,6119
Mihaltan Nicolae,Partidul Social Democrat,2004,6164
Petruse Marin Ioan,Partidul Social Democrat,2004,6217
Avram Ilie,Partidul Democrat,2004,6271
Cordea Victor,Partidul Social Democrat,2004,6397
Botas Ioan,Partidul Umanist Din Romania (SOCIAL Liberal),2004,6468
Lazar Aurel,Partidul National Liberal,2004,6547
Veres Rudolf,Uniunea Democrata Maghiara Din Romania,2004,6592
Dan Aurel,Partidul National Liberal,2004,6627
Narita Virgil Nicolae,Partidul Social Democrat,2004,6761
Wagner Gheorghe,Candidat independent,2004,6930
Lombrea Vasile,Partidul Democrat,2004,6976
Stanila Aurel Emil,Partidul National Taranesc Crestin Democrat,2004,7044
Morar Nicolae Florin,Partidul Social Democrat,2004,7099
Costea Cristian-Vasile,Partidul Social Democrat,2004,7197
Fratila Ilie,Partidul Unitatii Natiunii Romane,2004,7348
Popa Ioan Iancu,Partidul Democrat,2004,7384
Andreica Lucian,Partidul National Liberal,2004,7446
Sirbu Ioan,Partidul National Taranesc Crestin Democrat,2004,7767
Herlea Ioan Simion,Partidul National Liberal,2004,7810
Horsia Ioan,Partidul Democrat,2004,7865
Rusu Daniel-Gheorghe,Partidul Umanist Din Romania (SOCIAL Liberal),2004,7945
Jinar Constantin,Partidul National Liberal,2004,8014
Metea Cristinel Ioan,Partidul Social Democrat,2004,8158
Hristea Eugenia Silvia,Partidul Social Democrat,2004,8229
Pusca Vasile,Partidul Democrat,2004,8354
Resiga Ioan Alexandru,Partidul Democrat,2004,8425
Danciu A. Alexandru,Partidul Democrat,2004,8826
Hava Mircea Gheorghe,Partidul Democrat Liberal,2008,1017
Josan Mihai Horatiu,Partidul National Liberal,2008,1213
Rotar Gheorghe Valentin,Partidul Democrat Liberal,2008,1348
Sarbu Mugurel Liviu,Partidul Democrat Liberal,2008,1874
Ratiu Ioan Tiberiu,Partidul Democrat Liberal,2008,1151
Bora Gheorghe,Partidul Democrat Liberal,2008,2915
Andres Ioan Calin,Partidul National Liberal,2008,1455
Teban Adrian Ovidiu,Partidul National Liberal,2008,1696
Dragut Augustin Iosif,Partidul National Taranesc Crestin Democrat,2008,1794
Mateica Iacob Dorin Cornel,Partidul Democrat Liberal,2008,8096
Ponoran Silviu,Partidul Democrat Liberal,2008,1936
Todea Petru-Tiberiu,Partidul Democrat Liberal,2008,2130
Zaharie Aron,Partidul Democrat Liberal,2008,2309
Jurj Vasile Marin,Partidul National Liberal,2008,2381
Heler Sandu,Partidul Democrat Liberal,2008,2577
Bica Vasile,Partidul Democrat Liberal,2008,2988
Gligor Traian,Partidul National Liberal,2008,3039
Gherman Nicolae,Partidul National Liberal,2008,3397
Aldea Ioan,Partidul National Liberal,2008,9026
Napau Cornel,Partidul Social Democrat,2008,3459
Neamtu Ilie,Partidul Democrat Liberal,2008,3761
Aldea Lenuta,Partidul Democrat Liberal,2008,3805
Trif Ioan,Partidul Democrat Liberal,2008,3841
Cucui Mihaila,Partidul Democrat Liberal,2008,3958
Damian Gheorghe,Partidul Social Democrat,2008,1071
Tuhut Radu Marcel,Partidul Social Democrat,2008,4008
Oancea Ioan,Partidul Democrat Liberal,2008,4106
Lupsan Emil,Partidul National Liberal,2008,4142
Bubur Lenuta,Partidul Democrat Liberal,2008,4188
Cutean Vasile Eugen,Partidul Social Democrat,2008,9019
Haprian Visarion,Partidul National Liberal,2008,4240
Cindea Emilia Livia,Partidul National Liberal,2008,4268
Barabas Gligor,Partidul Democrat Liberal,2008,4302
Raica Romulus,Partidul National Liberal,2008,4366
Nedela Ioan,Partidul Democrat Liberal,2008,4482
Virciu Marin,Partidul Democrat Liberal,2008,4525
Popa Augustin,Partidul Democrat Liberal,2008,4703
Olar Corneliu,Partidul Democrat Liberal,2008,4767
Rusu Traian,Partidul Democrat Liberal,2008,4927
Florea Teodor,Partidul Romania Mare,2008,4981
Nemes Nicolae,Partidul National Liberal,2008,5103
Irimie Octaviu-Daniel,Partidul National Liberal,2008,5167
Indreiu Marian Catalin,Partidul Democrat Liberal,2008,5210
Bradescu Eugen,Partidul Democrat Liberal,2008,5309
Macaiet Alexandru,Partidul Democrat Liberal,2008,5336
Ursales Traian Nicolae,Partidul Democrat Liberal,2008,5577
Breaz Flavius,Partidul Social Democrat,2008,5700
Alexandru Liviu Gigel,Partidul Democrat Liberal,2008,5755
Macavei Mircea Liviu,Partidul National Liberal,2008,5826
Vinteler Silviu,Partidul Democrat Liberal,2008,6048
Jucan Alin Alexandru,Partidul Democrat Liberal,2008,6119
Mihaltan Nicolae,Partidul Democrat Liberal,2008,6164
Petruse Marin Ioan,Partidul Democrat Liberal,2008,6217
Avram Ilie,Partidul Democrat Liberal,2008,6271
Stan Vasile,Partidul Democrat Liberal,2008,6397
Botas Ioan,Partidul National Liberal,2008,6468
Lazar Aurel,Partidul National Liberal,2008,6547
Szocs Francisc,Uniunea Democrata Maghiara Din Romania,2008,6592
Dan Aurel,Partidul National Liberal,2008,6627
Furdui Eugen,Partidul Democrat Liberal,2008,6761
Wagner Gheorghe,Partidul National Liberal,2008,6930
Lombrea Vasile,Partidul Democrat Liberal,2008,6976
Stanila Aurel Emil,Partidul National Liberal,2008,7044
Morar Nicolae Florin,Partidul Democrat Liberal,2008,7099
Costea Cristian-Vasile,Partidul National Liberal,2008,7197
Fratila Ilie,Partidul National Liberal,2008,7348
Popa Ioan Iancu,Partidul Democrat Liberal,2008,7384
Andreica Lucian,Partidul National Liberal,2008,7446
